A,0.14,0.21
B,0.8,0.61
C,0.16,0.12
D,0.94,0.82
E,0.23,0.23
F,0.12,0.12
G,0.295333333,0.262666667
H,0.265904762,0.237238095
I,0.23647619,0.211809524
J,0.207047619,0.186380952
K,0.177619048,0.160952381
L,0.148190476,0.13552381
M,0.118761905,0.110095238
N,0.089333333,0.084666667
O,0.059904762,0.059238095
P,0.03047619,0.033809524
Q,0.001047619,0.008380952
R,0.14,0.21
S,0.8,0.61
T,0.16,0.12
U,0.94,0.82
V,0.23,0.23
W,0.12,0.12
X,0.295333333,0.262666667
Y,0.265904762,0.237238095
Z,0.23647619,0.211809524
AA,0.207047619,0.186380952
AB,0.177619048,0.160952381
AC,0.148190476,0.13552381
AD,0.118761905,0.110095238
AE,0.089333333,0.084666667
AF,0.059904762,0.059238095
AG,0.03047619,0.033809524
AH,0.001047619,0.008380952
AI,0.14,0.21
AJ,0.8,0.61
AK,0.16,0.12
AL,0.94,0.82
AM,0.23,0.23
AN,0.12,0.12
AO,0.295333333,0.262666667
AP,0.265904762,0.237238095
AQ,0.23647619,0.211809524
AR,0.207047619,0.186380952
AS,0.177619048,0.160952381
AT,0.148190476,0.13552381
AU,0.118761905,0.110095238
AV,0.089333333,0.084666667
AW,0.059904762,0.059238095
AX,0.03047619,0.033809524
AY,0.001047619,0.008380952
AZ,0.14,0.21
BA,0.8,0.61
BB,0.16,0.12
BC,0.94,0.82
BD,0.23,0.23
BE,0.12,0.12
BF,0.295333333,0.262666667
BG,0.265904762,0.237238095
BH,0.23647619,0.211809524
BI,0.207047619,0.186380952
BJ,0.177619048,0.160952381
BK,0.148190476,0.13552381
BL,0.118761905,0.110095238
BM,0.089333333,0.084666667
BN,0.059904762,0.059238095
BO,0.03047619,0.033809524
BP,0.001047619,0.008380952
,,